FACILITY_ID,STATUS,FACILITY_NAME,RECORD_ID,PROGRAM_NAME,PROGRAM_ELEMENT__PE_,PE_DESCRIPTION,FACILITY_ADDRESS,FACILITY_CITY,FACILITY__STATE,FACILITY_ZIP,FACILITY_LATITUDE,FACILITY_LONGITUDE,OWNER_ID,OWNER_NAME,OWNER_ADDRESS,OWNER_CITY,OWNER_STATE,OWNER_ZIP,Location,ObjectId
FA0180000,Open,DOLLAR KING,PR0173701,DOLLAR KING,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",3920 W BURBANK BLVD,BURBANK,CA,91505,34.1737943339,-118.3528805095,OW0185464,DOLLAR TEAM INC.,3920 W BURBANK BLVD,BURBANK,CA,91505,"(34.1737943339, -118.3528805095)",14302
FA0018551,Open,DIANE MARKET,PR0038707,DIANE MARKET,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",801 N MARIANNA AVE,LOS ANGELES,CA,90063,34.0451939121,-118.1759568076,OW0011252,"ESPANA, DOROTEO/JENARO LEON",801  N MARIANNA AVE,LOS ANGELES,CA,90063,"(34.0451939121, -118.1759568076)",14307
FA0264241,Open,DOLLAR SMART,PR0215312,DOLLAR SMART,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",12322 LONG BEACH BLVD,LYNWOOD,CA,90262,33.9153205598,-118.2091599453,OW0255423,YAZID CORPORATION,12322 LONG BEACH BLVD,LYNWOOD,CA,90262,"(33.9153205598, -118.2091599453)",14311
FA0300186,Open,ARA GROCERY & DELI,PR0257377,ARA GROCERY & DELI,1611,"FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",1021 E BROADWAY,GLENDALE,CA,91205,None,None,OW0283478,ARA GROCERY & DELI,1021 E BROADWAY,GLENDALE,CA,91205,None,14314
FA0249482,Open,GREAT WALL SUPERMARKET,PR0198222,GREAT WALL SUPERMARKET - MEAT/SEAFOOD DEPT,1612,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",8150 GARVEY AVE # 121,ROSEMEAD,CA,91770,34.0626065333,-118.0907813986,OW0243731,GW SUPERMARKET OF ROSEMEAD INC,8150 GARVEY AVE # 121,ROSEMEAD,CA,91770,"(34.0626065333, -118.0907813986)",14320
FA0292050,Open,FUN PALACE NUTRITIONAL CENTER,PR0248014,FUN PALACE NUTRITIONAL CENTER,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",2717 E ALONDRA BLVD STE F,COMPTON,CA,90221,None,None,OW0276877,FUN PALACE NUTRITIONAL CTR LLC,2717 E ALONDRA BLVD STE F,COMPTON,CA,90221-4264,None,14325
FA0292327,Open,DOLLAR DOLLAR,PR0248313,DOLLAR DOLLAR,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",2150 FIRESTONE BLVD,LOS ANGELES,CA,90002,None,None,OW0277112,CJW DOLLAR INC,2150 FIRESTONE BLVD,LOS ANGELES,CA,90002,None,14328
FA0292250,Open,BEER'S CORNER MARKET,PR0248228,BEER'S CORNER MARKET,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",13227 MACLAY ST,SAN FERNANDO,CA,91340,None,None,OW0277040,JAIME MARTINEZ SIERRA,13227 MACLAY ST,SAN FERNANDO,CA,91340,None,14339
FA0062619,Open,GNC C#2751,PR0001004,GENERAL NUTRITION CTR #2751,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",140 LAKEWOOD MALL,LAKEWOOD,CA,90712,33.8542781,-118.142359,OW0013042,GENERAL NUTRITION CORP,300 6TH AVE,PITTSBURGH,PA,15222,"(33.8542781, -118.142359)",14342
FA0272638,Open,HERBALITA HOLISTIC,PR0225504,HERBALITA HOLISTIC,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",13852 CHASE ST,PANORAMA CITY,CA,91402,34.2275077587,-118.4350608793,OW0262324,ESTELA BENITEZ-MORALES,13852 CHASE ST,PANORAMA CITY,CA,91402,"(34.2275077587, -118.4350608793)",14345
